Iteration,RMSE
1,13.090496137384003
2,13.090496137384003
3,13.090496137384003
4,7.434759167000626
5,7.434759167000626
6,7.434759167000626
7,7.434759167000626
8,7.434759167000626
9,7.434759167000626
10,7.434759167000626
11,6.876452365295745
12,6.471632521074302
13,5.634106495356924
14,5.634106495356924
15,5.634106495356924
16,5.634106495356924
17,5.3055785892731
18,5.164229400277337
19,5.164229400277337
20,5.164229400277337
21,5.164229400277337
22,5.164229400277337
23,5.154545164871107
24,5.154545164871107
25,5.154545164871107
26,5.154545164871107
27,5.154545164871107
28,5.154545164871107
29,5.154545164871107
30,5.154545164871107
31,5.154545164871107
32,5.154545164871107
33,5.154545164871107
34,5.154545164871107
35,5.154545164871107
36,5.154545164871107
37,5.154545164871107
38,5.154545164871107
39,5.154545164871107
40,5.154545164871107
41,5.154545164871107
42,5.154545164871107
43,5.154545164871107
44,5.154545164871107
45,5.154545164871107
46,5.154545164871107
47,5.154545164871107
48,5.154545164871107
49,5.058211494595829
50,5.058211494595829
51,5.058211494595829
52,5.058211494595829
53,5.058211494595829
54,5.058211494595829
55,5.058211494595829
56,5.058211494595829
57,5.058211494595829
58,5.058211494595829
59,5.058211494595829
60,5.058211494595829
61,5.058211494595829
62,5.058211494595829
63,5.058211494595829
64,5.058211494595829
65,5.058211494595829
66,5.058211494595829
67,5.058211494595829
68,5.058211494595829
69,5.058211494595829
70,5.058211494595829
71,5.058211494595829
72,5.058211494595829
73,5.058211494595829
74,5.058211494595829
75,5.058211494595829
76,5.058211494595829
77,5.058211494595829
78,5.058211494595829
79,5.058211494595829
80,5.058211494595829
81,5.058211494595829
82,5.058211494595829
83,5.058211494595829
84,5.058211494595829
85,5.058211494595829
86,5.058211494595829
87,5.058211494595829
88,5.058211494595829
89,5.058211494595829
90,5.058211494595829
91,5.058211494595829
92,5.058211494595829
93,5.058211494595829
94,5.058211494595829
95,5.058211494595829
96,5.058211494595829
97,5.058211494595829
98,5.058211494595829
99,5.058211494595829
100,5.058211494595829
