Iteration,RMSE
1,6.993324325506021
2,6.993324325506021
3,6.993324325506021
4,4.360919859491587
5,4.360919859491587
6,4.360919859491587
7,4.360919859491587
8,4.360919859491587
9,4.360919859491587
10,4.360919859491587
11,4.360919859491587
12,3.0733975987408697
13,3.0135207697523456
14,3.0135207697523456
15,2.946197526977626
16,2.946197526977626
17,2.946197526977626
18,2.946197526977626
19,2.90680877258567
20,2.90680877258567
21,2.90680877258567
22,2.90680877258567
23,2.90680877258567
24,2.90680877258567
25,2.90680877258567
26,2.90680877258567
27,2.90680877258567
28,2.90680877258567
29,2.90680877258567
30,2.90680877258567
31,2.90680877258567
32,2.90680877258567
33,2.889570165324686
34,2.889570165324686
35,2.889570165324686
36,2.889570165324686
37,2.889570165324686
38,2.889570165324686
39,2.889570165324686
40,2.889570165324686
41,2.889570165324686
42,2.889570165324686
43,2.889570165324686
44,2.889570165324686
45,2.889570165324686
46,2.889570165324686
47,2.889570165324686
48,2.889570165324686
49,2.889570165324686
50,2.889570165324686
51,2.889570165324686
52,2.889570165324686
53,2.889570165324686
54,2.889570165324686
55,2.889570165324686
56,2.889570165324686
57,2.889570165324686
58,2.889570165324686
59,2.889570165324686
60,2.871467342390602
61,2.871467342390602
62,2.871467342390602
63,2.871467342390602
64,2.871467342390602
65,2.871467342390602
66,2.871467342390602
67,2.871467342390602
68,2.871467342390602
69,2.871467342390602
70,2.871467342390602
71,2.871467342390602
72,2.871467342390602
73,2.871467342390602
74,2.871467342390602
75,2.871467342390602
76,2.871467342390602
77,2.871467342390602
78,2.871467342390602
79,2.871467342390602
80,2.871467342390602
81,2.871467342390602
82,2.871467342390602
83,2.871467342390602
84,2.871467342390602
85,2.871467342390602
86,2.871467342390602
87,2.871467342390602
88,2.871467342390602
89,2.871467342390602
90,2.871467342390602
91,2.871467342390602
92,2.871467342390602
93,2.871467342390602
94,2.871467342390602
95,2.871467342390602
96,2.871467342390602
97,2.871467342390602
98,2.871467342390602
99,2.871467342390602
100,2.871467342390602
