Iteration,RMSE
1,4.66968637587409
2,4.66968637587409
3,4.66968637587409
4,3.4503603005164565
5,3.4503603005164565
6,3.4503603005164565
7,3.4503603005164565
8,3.4503603005164565
9,3.4503603005164565
10,3.4503603005164565
